dist_scale,dist_offset_mm,vert_offset_mm,horiz_offset_mm,vert_degree,delta_horiz_degree
0.99876,-13.5859,6.93198,-5.34351,15.1579,0.03697
0.99989,-6.45528,5.73541,-0.10001,12.9819,-0.02545
1.00234,0.20365,3.99366,8.79403,11.2059,0.00201
1.00021,5.51681,-0.12562,-5.71735,9.04116,0.02266
0.99909,13.2454,1.60837,7.50466,6.96988,0.01714
1.0009,18.0433,-1.84689,10.5796,4.91984,0.00358
0.99937,-2.62905,0.03405,1.87254,3.09738,-0.01826
1.00202,-0.71223,-1.63089,3.04209,0.96232,0.00366
0.99625,-2.52451,-1.82597,6.43972,-1.10433,0.00446
1.0042,1.15164,8.46108,1.37269,-2.96291,-0.00978
0.99616,-5.99829,-2.91857,0.28193,-4.98058,-0.00295
1.00046,-11.1032,-2.75417,5.72985,-6.95121,0.00221
1.00563,8.47777,1.35921,-1.89459,-9.0207,-0.03814
0.99797,1.18153,-3.10423,-4.53184,-10.8839,0.0055
1.00067,-3.26012,3.70095,-2.09108,-13.2417,0.00378
1.00018,-13.1456,0,0,-15,0
